#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T21:53:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T21:53:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/92A/catalog&-source=VII/92A/catalog&-out=RA1950&-out=DE1950&-out=Diam&-out=Dist&-out=log.Age&-out=[Fe/H]&-out=E(B-V)&-out=Cname&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7092
#Name: VII/92A
#Title: Open Cluster Data 5th Edition (Lynga 1987)
#INFO	ivoid=ivo://cds.vizier/vii/92a	    IVOID of underlying data collection
#INFO	creator=LYNGA G.: 1987	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/92A	    Dataset landing page
#INFO	publication_date=2018-01-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_92A_catalog:
#Name: VII/92A/catalog
#Title: The Catalogue Data File
#Column	RA1950	(A7)	Right Ascension 1950	[ucd=pos.eq.ra]
#Column	DE1950	(A6)	Declination 1950	[ucd=pos.eq.dec]
#Column	Diam	(F6.1)	? Selected Angular diameter	[ucd=phys.angSize]
#Column	Dist	(I4)	? Distance	[ucd=pos.distance]
#Column	log.Age	(F5.2)	[6/10]? log(age), years	[ucd=arith.zp]
#Column	[Fe/H]	(F5.2)	[-.8/.3]? Metallicity, logarithmic scale	[ucd=instr.scale]
#Column	E(B-V)	(F6.2)	[0/2]? Reddening	[ucd=phot.color.excess]
#Column	Cname	(A9)	[C0-9+-] Cluster "C" designation (4)	[ucd=meta.id;meta.main]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
RA1950	DE1950	Diam	Dist	log.Age	[Fe/H]	E(B-V)	Cname	_RA.icrs	_DE.icrs
17 56.7	-17 23	   6.0	    	     	     	      	C1756-174	17 59 36.7	-17 23 08
17 56.7	-28 10	   8.0	1000	 9.10	     	  0.42	C1756-281	17 59 51.6	-28 10 08
17 56.8	-25 10	   3.0	    	     	     	      	C1756-251	17 59 53.2	-25 10 07
17 56.9	-24 40	   4.0	    	     	     	      	C1756-246	17 59 58.5	-24 40 07
17 58.6	+02 54	 240.0	 200	     	     	  0.00	C1758+029	18 01 06.4	+02 53 59
17 58.1	-23 32	  10.0	    	     	     	      	C1758-235	18 01 08.9	-23 32 02
17 59.3	-23 01	  28.0	1600	     	     	  0.29	C1759-230	18 02 20.2	-23 00 56
18 00.2	-27 53	   6.0	1650	 9.00	     	  0.30	C1800-279	18 03 21.1	-27 52 52
18 01.6	-22 29	  13.0	1300	 6.66	     	  0.29	C1801-225	18 04 37.4	-22 28 46
18 01.7	-24 19	  14.0	1600	 6.30	     	  0.30	C1801-243	18 04 46.0	-24 18 46
18 03.2	-27 48	   0.8	    	     	     	      	C1803-278	18 06 21.0	-27 47 39
18 03.5	-27 27	   1.5	    	     	     	      	C1803-274	18 06 38.5	-27 26 38
18 04.2	-23 19	  13.0	 830	 7.60	     	      	C1804-233	18 07 14.6	-23 18 35
18 06.9	+31 31	  34.0	    	     	     	      	C1806+315	18 08 46.8	+31 31 34
18 06.5	-23 59	  37.0	    	     	     	      	C1806-240	18 09 33.5	-23 58 25
18 09.8	-21 36	  12.0	    	     	     	      	C1809-216	18 12 48.2	-21 35 11
18 12.3	-19 00	   2.0	1000	     	     	      	C1812-190	18 15 14.7	-18 59 00
18 12.8	-22 08	   2.8	    	     	     	      	C1812-221	18 15 48.9	-22 06 57
18 13.5	-18 13	   5.0	1970	 7.30	     	  0.72	C1813-182	18 16 25.7	-18 11 55
18 14.0	-19 53	  11.0	    	     	     	      	C1814-199	18 16 57.9	-19 51 52
18 14.2	-14 58	      	    	     	     	      	C1814-149	18 17 03.6	-14 56 52
18 14.6	-16 40	      	    	     	     	      	C1814-166	18 17 29.7	-16 38 50
18 14.7	-13 21	   4.0	    	     	     	      	C1814-133	18 17 31.6	-13 19 50
18 15.3	-12 14	   2.0	1640	 6.60	     	  0.96	C1815-122	18 18 06.2	-12 12 47
18 15.5	-18 25	   5.0	2880	     	     	  0.52	C1815-184	18 18 26.0	-18 23 46
18 16.0	-13 47	   6.0	2500	 6.74	     	  0.71	C1816-138	18 18 50.1	-13 45 44
18 17.0	-17 08	   9.0	1200	 7.50	     	  0.42	C1817-171	18 19 54.3	-17 06 39
18 17.9	-16 11	  11.0	1500	     	     	      	C1817-162	18 20 47.1	-16 09 35
18 20.4	-12 04	      	    	     	     	      	C1820-120	18 23 12.0	-12 02 25
18 21.8	-19 42	   6.0	1300	 7.10	     	  0.51	C1821-197	18 24 45.6	-19 40 18
18 22.4	-10 04	   2.5	    	     	     	      	C1822-100	18 25 09.6	-10 02 16
18 22.5	-14 40	  12.0	    	     	     	      	C1822-146	18 25 21.2	-14 38 16
18 24.4	-12 03	   5.0	    	     	     	      	C1824-120	18 27 11.9	-12 01 07
18 25.3	+06 32	  27.0	 320	 8.82	-0.11	  0.17	C1825+065	18 27 44.2	+06 33 56
18 28.5	-12 20	   6.0	    	     	     	      	C1828-123	18 31 18.2	-12 17 50
18 28.7	-06 39	  18.0	    	     	     	      	C1828-066	18 31 23.5	-06 36 49
18 28.6	-17 22	      	    	     	     	      	C1828-173	18 31 30.5	-17 19 49
19 02.6	+01 48	   5.0	    	     	     	      	C1902+018	19 05 07.7	+01 52 36
18 28.7	-19 16	  32.0	 560	 7.95	-0.06	  0.48	C1828-192	18 31 38.9	-19 13 48
18 29.3	-12 16	   4.0	    	     	     	      	C1829-122	18 32 06.2	-12 13 46
18 29.3	-16 04	   6.0	    	     	     	      	C1829-160	18 32 10.8	-16 01 46
18 29.8	-12 09	   5.0	    	     	     	      	C1829-121	18 32 36.0	-12 06 44
18 29.7	-16 55	  10.0	    	     	     	      	C1829-169	18 32 35.9	-16 52 44
18 30.6	-11 27	   5.0	    	     	     	      	C1830-114	18 33 23.2	-11 24 41
18 30.7	-10 25	   5.0	1630	 7.70	     	  1.16	C1830-104	18 33 27.9	-10 22 40
18 32.4	+05 07	   5.0	    	     	     	      	C1832+051	18 34 51.8	+05 09 27
18 34.0	-08 15	  16.0	1370	 7.57	     	  0.61	C1834-082	18 36 43.3	-08 12 26
18 36.5	+05 24	  52.0	 400	 8.76	 0.04	  0.21	C1836+054	18 38 57.5	+05 26 44
18 37.1	-08 31	   7.0	    	     	     	      	C1837-085	18 39 49.6	-08 28 13
18 37.8	-04 08	  12.0	    	     	     	      	C1837-041	18 40 26.5	-04 05 10
18 38.0	-04 26	   6.0	    	     	     	      	C1838-044	18 40 38.9	-04 23 09
18 39.3	-04 37	   4.0	    	     	     	      	C1839-046	18 41 57.1	-04 34 03
18 39.5	-06 19	  11.0	1250	 8.00	     	  0.64	C1839-063	18 42 11.0	-06 16 02
18 40.3	-04 10	   9.0	1610	 7.62	     	  1.14	C1840-041	18 42 56.5	-04 06 59
18 42.5	-09 26	  14.0	1550	 7.95	     	  0.71	C1842-094	18 45 14.7	-09 22 49
18 42.6	-01 15	  10.0	    	     	     	      	C1842-012	18 45 11.2	-01 11 49
18 46.2	+36 48	 109.0	 250	     	     	      	C1846+368	18 47 56.8	+36 51 24
18 45.5	-05 53	   9.0	1460	 7.76	     	  0.69	C1845-059	18 48 10.5	-05 49 37
18 47.2	+04 52	  13.0	    	     	     	      	C1847+048	18 49 40.2	+04 55 30
18 47.6	-18 08	  35.0	    	     	     	      	C1847-181	18 50 31.1	-18 04 27
18 48.2	-05 15	   5.0	1810	 7.30	     	  1.02	C1848-052	18 50 51.7	-05 11 25
18 48.4	-06 19	  13.0	1720	 8.35	 0.10	  0.36	C1848-063	18 51 05.0	-06 15 24
18 49.1	+10 17	  13.0	 950	 7.89	     	  0.32	C1849+102	18 51 27.9	+10 20 38
18 49.6	-21 10	   3.0	    	     	     	      	C1849-211	18 52 35.0	-21 06 18
18 50.5	-20 26	  22.0	    	     	     	      	C1850-204	18 53 28.0	-20 22 15
18 51.8	+36 51	  20.0	    	 7.40	-0.10	      	C1851+368	18 53 33.0	+36 54 48
18 51.9	-01 18	   4.0	    	     	     	      	C1851-013	18 54 29.2	-01 14 09
18 51.6	-19 56	   6.0	 600	 8.20	-0.28	  0.12	C1851-199	18 54 33.3	-19 52 10
18 59.1	+11 32	  15.0	    	     	     	      	C1859+115	19 01 26.6	+11 36 21
18 59.0	-00 35	   7.0	    	     	     	      	C1859-005	19 01 34.4	-00 30 39
19 05.1	+04 13	   6.0	    	     	     	      	C1905+042	19 07 35.0	+04 17 46
19 05.3	+04 09	  14.0	1500	 7.55	     	  1.14	C1905+041	19 07 47.1	+04 13 47
19 06.2	+04 36	   4.0	1650	 7.67	     	  1.42	C1906+046	19 08 40.6	+04 40 51
19 09.1	+12 59	   4.0	    	     	     	      	C1909+129	19 11 25.0	+13 04 02
19 13.2	+11 08	   5.0	    	     	     	      	C1913+111	19 15 33.3	+11 13 20
19 13.8	-16 21	  47.0	    	     	     	      	C1913-163	19 16 40.3	-16 15 37
19 15.0	+19 28	   5.0	    	     	     	      	C1915+194	19 17 11.4	+19 33 27
19 16.9	+15 37	   4.0	    	     	     	      	C1916+156	19 19 10.1	+15 42 35
19 19.0	+37 45	  15.0	5200	 9.85	 0.04	  0.21	C1919+377	19 20 45.1	+37 50 42
19 21.0	+22 05	      	    	     	     	      	C1921+220	19 23 08.3	+22 10 51
19 22.2	+13 36	   5.0	    	     	     	      	C1922+136	19 24 30.6	+13 41 57
19 23.2	+20 05	  60.0	 130	 8.30	     	  0.05	C1923+200	19 25 22.9	+20 11 00
19 24.0	+11 30	   7.0	    	     	     	      	C1924+115	19 26 21.1	+11 36 04
19 25.1	+25 02	      	    	     	     	      	C1925+250	19 27 10.7	+25 08 08
19 26.4	+17 18	   5.0	    	     	     	      	C1926+173	19 28 38.4	+17 24 14
19 26.7	+14 46	   1.0	    	     	     	      	C1926+147	19 28 59.4	+14 52 15
19 28.4	+20 10	   3.2	 990	 9.22	     	  0.77	C1928+201	19 30 35.0	+20 16 22
19 33.7	+25 06	  60.0	    	     	     	      	C1933+251	19 35 47.0	+25 12 43
19 36.7	+46 27	  12.0	 900	 8.73	     	  0.14	C1936+464	19 38 11.6	+46 33 53
19 35.8	+00 13	   1.0	    	     	     	      	C1935+002	19 38 21.5	+00 19 52
19 39.6	+40 04	   5.0	2200	 9.54	-0.11	  0.45	C1939+400	19 41 18.8	+40 11 05
19 40.4	+21 04	   5.0	    	     	     	      	C1940+210	19 42 34.5	+21 11 09
19 41.0	+23 11	  12.0	3470	 6.70	     	  0.82	C1941+231	19 43 07.9	+23 18 12
19 42.8	+17 24	      	    	     	     	      	C1942+174	19 45 02.9	+17 31 19
19 43.3	+23 48	      	    	     	     	      	C1943+238	19 45 25.2	+23 55 21
19 46.7	+21 04	   4.0	    	     	     	      	C1946+210	19 48 52.8	+21 11 34
19 48.5	+25 02	   9.0	    	     	     	      	C1948+250	19 50 36.0	+25 09 41
19 48.9	+22 56	  12.0	1470	 8.00	     	  0.56	C1948+229	19 51 02.6	+23 03 43
19 50.2	+29 17	   5.0	2300	 7.90	     	  0.59	C1950+292	19 52 12.6	+29 24 47
19 50.9	+18 12	   6.0	1750	 7.78	     	      	C1950+182	19 53 08.3	+18 19 51
19 54.4	+30 13	   0.5	    	     	     	      	C1954+302	19 56 23.6	+30 21 04
19 56.5	+20 21	      	    	     	     	      	C1956+203	19 58 42.1	+20 29 12
19 57.9	+34 28	   4.0	    	     	     	      	C1957+344	19 59 47.8	+34 36 17
19 59.3	+28 29	   4.0	    	     	     	      	C1959+284	20 01 20.3	+28 37 22
20 02.1	+43 51	   6.0	1200	 8.36	     	  0.13	C2002+438	20 03 44.5	+43 59 32
20 02.9	+29 04	      	    	 6.80	     	      	C2002+290	20 04 55.8	+29 12 36
20 04.0	+40 23	  20.0	    	     	     	      	C2004+403	20 05 45.1	+40 31 39
20 04.0	+35 38	  20.0	1650	 7.00	     	  0.38	C2004+356	20 05 52.7	+35 46 40
20 05.6	+35 32	  14.0	    	     	     	      	C2005+355	20 07 29.0	+35 40 46
20 06.3	+36 24	   5.0	    	     	     	      	C2006+364	20 08 09.8	+36 32 48
20 07.3	+35 20	  12.0	    	 6.00	     	      	C2007+353	20 09 11.5	+35 28 52
20 08.2	+41 13	  10.0	    	     	     	      	C2008+412	20 09 56.2	+41 21 55
20 08.1	+33 37	  45.0	 300	     	     	  0.06	C2008+336	20 10 02.1	+33 45 55
20 08.5	+34 47	   4.0	    	     	     	      	C2008+347	20 10 24.5	+34 55 56
20 08.6	+41 04	   9.0	    	     	     	      	C2008+410	20 10 20.5	+41 12 57
20 09.4	+35 42	  14.0	1380	 7.17	     	  0.41	C2009+357	20 11 17.2	+35 51 00
20 09.8	+35 29	   4.0	    	     	     	      	C2009+354	20 11 41.6	+35 38 01
20 10.1	+34 12	   4.0	    	     	     	      	C2010+342	20 12 01.5	+34 21 02
20 09.9	+26 20	   7.0	 590	     	-0.16	  0.07	C2009+263	20 11 59.9	+26 29 02
20 04.5	-79 27	  49.0	    	     	     	      	C2004-794	20 12 05.7	-79 18 08
20 13.8	+36 38	  14.0	    	     	     	      	C2013+366	20 15 40.3	+36 47 16
20 14.6	+37 43	  12.0	    	     	     	      	C2014+377	20 16 26.8	+37 52 19
20 14.6	+37 29	   5.0	1620	 7.00	     	  0.69	C2014+374	20 16 27.1	+37 38 19
20 15.9	+36 31	   6.0	    	     	     	      	C2015+365	20 17 46.8	+36 40 23
20 16.3	+40 34	   4.5	    	     	     	      	C2016+405	20 18 04.4	+40 43 25
20 16.4	+37 41	  12.0	    	     	     	      	C2016+376	20 18 15.0	+37 50 25
20 17.0	+37 33	   7.0	    	     	     	      	C2016+375	20 18 51.3	+37 42 27
20 17.4	+37 35	  11.0	    	     	     	      	C2017+375	20 19 15.3	+37 44 29
20 17.9	+37 58	  11.0	    	     	     	      	C2017+379	20 19 44.8	+38 07 31
20 18.6	+38 32	   7.0	1720	 6.78	     	      	C2018+385	20 20 26.0	+38 41 33
20 18.7	+39 13	   6.0	    	     	     	      	C2018+392	20 20 30.9	+39 22 33
20 19.0	+41 13	  10.0	    	     	     	      	C2019+412	20 20 45.7	+41 22 34
20 20.0	+47 55	   3.0	    	     	     	      	C2020+479	20 21 33.2	+48 04 38
20 21.3	+40 37	   7.0	1650	 7.00	     	  0.93	C2021+406	20 23 05.0	+40 46 43
20 21.5	+41 32	   5.0	    	     	     	      	C2021+415	20 23 15.5	+41 41 43
20 22.1	+38 22	   6.0	1250	 7.00	     	  0.93	C2022+383	20 23 56.7	+38 31 46
20 22.7	+42 06	   5.0	    	     	     	      	C2022+421	20 24 26.7	+42 15 48
20 23.0	+45 49	   5.0	    	     	     	      	C2023+458	20 24 38.0	+45 58 48
20 23.9	+41 46	   7.0	    	     	     	      	C2023+417	20 25 39.5	+41 55 52
20 24.5	+39 57	  15.0	    	     	     	      	C2024+399	20 26 18.6	+40 06 54
20 24.7	+41 17	   7.0	    	     	     	      	C2024+412	20 26 28.4	+41 26 55
20 27.0	+39 13	      	    	     	     	      	C2027+392	20 28 50.1	+39 23 03
20 27.9	+41 33	  12.0	    	     	     	      	C2027+415	20 29 40.5	+41 43 06
20 30.4	+60 28	   7.0	1250	 9.26	-0.11	  0.48	C2030+604	20 31 24.2	+60 38 13
20 32.5	+28 08	  31.0	 800	 9.04	 0.04	  0.24	C2032+281	20 34 35.7	+28 18 22
20 33.7	+46 38	   5.0	    	     	     	      	C2033+466	20 35 20.4	+46 48 26
20 39.8	+35 22	  49.0	    	     	     	      	C2039+353	20 41 45.4	+35 32 47
20 41.6	+36 52	   5.0	    	     	     	      	C2041+368	20 43 31.6	+37 02 53
20 43.2	+35 19	   9.0	    	     	     	      	C2043+353	20 45 10.0	+35 29 58
20 49.0	+35 46	  12.0	    	     	     	      	C2049+357	20 50 58.2	+35 57 17
20 50.5	+37 44	      	    	     	     	      	C2050+377	20 52 25.8	+37 55 22
20 52.0	+45 51	  20.0	    	     	     	      	C2052+458	20 53 43.5	+46 02 26
20 55.0	+47 13	      	    	     	     	      	C2055+472	20 56 41.6	+47 24 36
20 54.7	+44 26	   6.0	 500	     	     	  0.61	C2054+444	20 56 28.4	+44 37 35
20 55.0	+50 50	  12.0	    	     	     	      	C2055+508	20 56 34.5	+51 01 35
20 56.3	-12 49	   2.8	    	     	     	      	C2056-128	20 59 02.6	-12 37 18
20 58.9	+67 58	   4.0	    	     	     	      	C2058+679	20 59 30.1	+68 09 46
20 59.9	+67 58	   5.0	    	     	     	      	C2059+679	21 00 30.6	+68 09 49
21 01.4	+44 23	  13.0	 480	     	     	      	C2101+443	21 03 11.9	+44 34 56
23 06.0	+60 36	   3.0	4000	     	     	  1.93	C2306+606	23 08 06.5	+60 52 15
21 01.3	+40 16	   5.0	    	     	     	      	C2101+402	21 03 12.0	+40 27 56
20 02.9	+33 43	   4.0	    	     	     	      	C2002+337	20 04 49.4	+33 51 36
21 05.7	+50 38	   5.0	1000	 7.75	     	  0.79	C2105+506	21 07 19.7	+50 50 08
21 07.0	+37 24	  18.0	    	     	     	      	C2107+374	21 08 58.8	+37 36 13
21 09.4	+45 27	  24.0	 700	 8.10	     	  0.12	C2109+454	21 11 11.8	+45 39 20
21 10.0	+48 16	   5.0	    	     	     	      	C2110+482	21 11 43.2	+48 28 21
21 10.4	+47 32	   4.0	1500	 9.10	     	  0.50	C2110+475	21 12 08.6	+47 44 23
21 11.1	+42 17	   3.5	    	     	     	      	C2111+422	21 12 59.0	+42 29 25
20 12.3	+28 49	   4.0	    	     	     	      	C2012+288	20 14 21.0	+28 58 11
21 15.1	+51 34	   5.0	    	     	     	      	C2115+515	21 16 44.3	+51 46 36
21 15.8	+41 41	   7.0	    	     	     	      	C2115+416	21 17 42.8	+41 53 38
21 21.4	+46 10	   6.0	1900	 8.80	     	  0.43	C2121+461	21 23 13.4	+46 22 54
21 22.4	+47 48	   3.0	3500	 7.10	     	  0.83	C2122+478	21 24 11.1	+48 00 57
21 22.4	+36 17	   7.0	 660	 8.15	     	  0.07	C2122+362	21 24 26.7	+36 29 57
21 23.7	+57 17	   4.0	    	     	     	      	C2123+572	21 25 10.2	+57 30 00
21 27.6	+46 52	  24.0	1400	 9.20	 0.03	  0.27	C2127+468	21 29 25.8	+47 05 11
21 28.8	+51 22	   9.0	1200	 7.93	     	  0.66	C2128+513	21 30 30.6	+51 35 14
21 30.4	+48 13	  31.0	 270	 8.43	     	  0.05	C2130+482	21 32 12.4	+48 26 18
21 37.5	+57 16	  49.0	 800	 6.00	     	  0.49	C2137+572	21 39 03.3	+57 29 36
21 40.2	+65 52	   2.7	    	     	     	      	C2140+658	21 41 20.2	+66 05 43
21 42.2	+54 23	   2.8	1300	     	     	      	C2142+543	21 43 53.1	+54 36 48
21 42.3	+53 29	   3.1	2600	 7.00	     	  0.98	C2142+534	21 44 00.8	+53 42 49
21 42.5	+50 59	      	    	     	     	      	C2142+509	21 44 17.3	+51 12 49
21 44.7	+65 34	   4.3	1000	 9.60	-0.11	  0.18	C2144+655	21 45 53.8	+65 47 54
21 51.5	+47 02	   9.0	1000	 8.36	     	  0.66	C2151+470	21 53 25.7	+47 16 11
21 52.3	+62 22	   7.0	 900	 7.00	     	  0.52	C2152+623	21 53 44.3	+62 36 12
21 54.8	+63 42	   4.0	    	     	     	      	C2154+637	21 56 11.5	+63 56 18
22 03.2	+46 15	  24.0	 900	 8.48	     	  0.20	C2203+462	22 05 11.9	+46 29 37
22 06.2	+71 45	 130.0	    	     	     	      	C2206+717	22 07 08.9	+71 59 42
22 08.6	+52 35	   7.0	    	     	     	      	C2208+525	22 10 29.1	+52 49 48
22 08.7	+55 10	   1.8	2200	 8.70	     	  0.59	C2208+551	22 10 31.1	+55 24 48
22 10.8	+57 02	   4.0	3800	 6.30	     	  0.94	C2210+570	22 12 34.7	+57 16 52
22 13.3	+49 38	  21.0	 880	 8.03	     	  0.18	C2213+496	22 15 16.6	+49 52 57
22 13.4	+54 05	   5.0	1900	 8.60	     	  0.59	C2213+540	22 15 16.6	+54 19 57
22 13.6	+54 09	   2.5	    	     	     	      	C2213+541	22 15 28.5	+54 23 58
22 14.6	+53 48	      	1800	 8.10	     	  0.52	C2214+538	22 16 29.4	+54 03 00
22 18.6	+57 50	   5.0	 900	 7.60	-0.46	  0.96	C2218+578	22 20 24.5	+58 05 07
22 20.8	+55 36	   4.0	1600	 7.80	     	  0.58	C2220+556	22 22 41.0	+55 51 11
22 22.9	+57 35	      	    	     	     	      	C2222+575	22 24 44.7	+57 50 15
22 26.2	+52 02	   4.0	    	     	     	      	C2226+520	22 28 11.9	+52 17 21
22 26.5	+58 52	   5.0	    	     	     	      	C2226+588	22 28 20.1	+59 07 21
22 27.5	+55 09	   2.0	    	     	     	      	C2227+551	22 29 26.3	+55 24 23
22 37.6	+58 45	   5.0	    	     	     	      	C2237+587	22 39 31.3	+59 00 39
22 37.9	+59 37	   3.0	    	     	     	      	C2237+596	22 39 48.1	+59 52 40
22 41.1	+52 09	   6.0	    	     	     	      	C2241+521	22 43 11.0	+52 24 45
22 45.0	+57 50	  12.0	3600	 6.58	     	  0.62	C2245+578	22 46 59.9	+58 05 50
22 50.1	+58 01	   4.0	    	     	     	      	C2250+580	22 52 07.9	+58 16 57
22 52.3	+60 34	   2.0	1920	     	     	      	C2252+605	22 54 17.6	+60 50 00
22 52.9	+58 54	   3.0	    	     	     	      	C2252+589	22 54 56.1	+59 10 01
22 53.2	+56 52	   5.0	    	     	     	      	C2253+568	22 55 16.7	+57 08 01
22 53.9	+59 43	      	1920	     	     	      	C2253+597	22 55 55.5	+59 59 02
23 06.2	+60 15	   6.0	1350	 7.60	     	  0.79	C2306+602	23 08 19.0	+60 31 16
23 09.4	+60 18	   4.0	3160	 7.00	     	  1.06	C2309+603	23 11 32.5	+60 34 19
23 13.1	+60 12	   5.0	2250	 7.00	     	  0.83	C2313+602	23 15 16.5	+60 28 22
23 19.6	+71 29	   6.0	    	     	     	      	C2319+714	23 21 35.4	+71 45 27
23 22.0	+61 19	  12.0	1470	 7.55	     	  0.60	C2322+613	23 24 14.1	+61 35 29
23 23.5	+61 02	  13.0	    	     	     	      	C2323+610	23 25 45.1	+61 18 30
23 24.4	+63 28	   4.0	    	     	     	      	C2324+634	23 26 37.6	+63 44 31
23 27.8	+48 51	  14.0	1000	     	     	      	C2327+488	23 30 11.4	+49 07 33
23 31.0	+58 14	   4.0	    	     	     	      	C2331+582	23 33 20.6	+58 30 35
23 31.2	+61 38	   5.0	    	     	     	      	C2331+616	23 33 30.8	+61 54 35
23 31.2	+63 56	   4.0	    	     	     	      	C2331+639	23 33 29.2	+64 12 35
23 34.8	+52 09	  20.0	    	     	     	      	C2334+521	23 37 12.7	+52 25 37
23 36.3	+56 22	   5.0	    	     	     	      	C2336+563	23 38 41.9	+56 38 37
23 42.8	+59 02	   4.0	    	     	     	      	C2342+590	23 45 14.0	+59 18 40
23 43.6	+61 54	   1.0	    	     	     	      	C2343+619	23 46 01.4	+62 10 40
23 45.4	+68 21	   3.5	    	     	     	      	C2345+683	23 47 47.9	+68 37 40
23 47.4	+67 45	  11.0	1020	 8.90	     	  0.98	C2347+677	23 49 49.6	+68 01 41
23 47.4	+62 26	   2.5	    	     	     	      	C2347+624	23 49 51.4	+62 42 41
23 49.2	+15 59	      	    	     	     	      	C2349+159	23 51 45.0	+16 15 41
23 50.5	+61 41	   2.0	    	     	     	      	C2350+616	23 52 59.3	+61 57 41
23 51.6	+61 29	   4.0	    	     	     	      	C2351+614	23 54 05.9	+61 45 41
23 54.2	+61 07	   9.0	2410	 7.20	     	  0.27	C2354+611	23 56 43.4	+61 23 42
23 54.5	+56 27	  15.0	1900	 9.20	-0.10	  0.27	C2354+564	23 57 01.9	+56 43 42
23 55.9	+60 56	  17.0	3680	 7.89	     	  0.61	C2355+609	23 58 26.3	+61 12 42

